hmi_score,chatbot,severity,language,category,FC Norm,RG Norm,SC Norm,SH Norm,CA Norm
36.31,ChatGPT,MODERATE,EN,Depression,0.7711,0.4265,0.0,0.1676,0.0833
33.87,Copilot,MODERATE,EN,Depression,0.7045,0.4118,0.0,0.1611,0.0833
24.6,Gemini,LOW,EN,Depression,0.6952,0.0,0.0,0.2911,0.0833
31.31,ChatGPT,MODERATE,EN,Depression,0.7711,0.2353,0.0,0.1459,0.0833
34.22,Copilot,MODERATE,EN,Depression,0.7045,0.4118,0.0,0.1955,0.0833
30.54,Gemini,MODERATE,EN,Depression,0.6952,0.2353,0.0,0.2969,0.0833
33.37,ChatGPT,MODERATE,EN,Depression,0.7711,0.3088,0.0,0.1684,0.0833
40.46,Copilot,MODERATE,EN,Depression,0.7045,0.6471,0.0,0.2314,0.0833
29.0,Gemini,LOW,EN,Depression,0.6952,0.1765,0.0,0.2898,0.0833
18.61,ChatGPT,LOW,EN,Depression,0.3364,0.2353,0.0,0.1807,0.0833
43.21,Copilot,MODERATE,EN,Depression,0.6305,0.8147,0.0,0.3091,0.0833
34.58,Gemini,MODERATE,EN,Depression,0.764,0.0,0.2667,0.4159,0.0833
17.18,ChatGPT,LOW,EN,Depression,0.3364,0.1765,0.0,0.1849,0.0833
47.77,Copilot,MODERATE,EN,Depression,0.6305,0.9676,0.0,0.3834,0.0833
31.3,Gemini,MODERATE,EN,Depression,0.764,0.0,0.1333,0.4214,0.0833
17.19,ChatGPT,LOW,EN,Depression,0.3364,0.1765,0.0,0.1854,0.0833
38.41,Copilot,MODERATE,EN,Depression,0.6305,0.6265,0.0,0.2996,0.0833
36.03,Gemini,MODERATE,EN,Depression,0.764,0.0588,0.2667,0.4137,0.0833
39.63,ChatGPT,MODERATE,EN,Depression,0.683,0.6575,0.0,0.1872,0.0833
33.94,Copilot,MODERATE,EN,Depression,0.7837,0.3098,0.0,0.1847,0.0833
31.35,Gemini,MODERATE,EN,Depression,0.8861,0.0,0.0,0.3937,0.0833
38.11,ChatGPT,MODERATE,EN,Depression,0.683,0.5987,0.0,0.1816,0.0833
29.07,Copilot,LOW,EN,Depression,0.7837,0.1203,0.0,0.1722,0.0833
33.93,Gemini,MODERATE,EN,Depression,0.8861,0.1438,0.0,0.2918,0.0833
44.65,ChatGPT,MODERATE,EN,Depression,0.683,0.8471,0.0,0.2148,0.0833
31.44,Copilot,MODERATE,EN,Depression,0.7837,0.2235,0.0,0.1509,0.0833
32.56,Gemini,MODERATE,EN,Depression,0.8861,0.085,0.0,0.3018,0.0833
30.08,ChatGPT,MODERATE,EN,Depression,0.8179,0.1176,0.0,0.1762,0.0833
34.63,Copilot,MODERATE,EN,Depression,0.6713,0.4706,0.0,0.1891,0.0833
28.65,Gemini,LOW,EN,Depression,0.7757,0.0588,0.0,0.3073,0.0833
31.52,ChatGPT,MODERATE,EN,Depression,0.8179,0.1765,0.0,0.1733,0.0833
33.15,Copilot,MODERATE,EN,Depression,0.6713,0.4118,0.0,0.1887,0.0833
28.66,Gemini,LOW,EN,Depression,0.7757,0.0588,0.0,0.3084,0.0833
37.56,ChatGPT,MODERATE,EN,Depression,0.8179,0.4118,0.0,0.1898,0.0833
31.7,Copilot,MODERATE,EN,Depression,0.6713,0.3529,0.0,0.1905,0.0833
29.98,Gemini,LOW,EN,Depression,0.7757,0.1176,0.0,0.2933,0.0833
29.25,ChatGPT,LOW,EN,Depression,0.6179,0.3216,0.0,0.1844,0.0833
35.52,Copilot,MODERATE,EN,Depression,0.7654,0.3922,0.0,0.1917,0.0833
27.35,Gemini,LOW,EN,Depression,0.7388,0.0588,0.0,0.2887,0.0833
33.65,ChatGPT,MODERATE,EN,Depression,0.6179,0.498,0.0,0.1828,0.0833
28.44,Copilot,LOW,EN,Depression,0.7654,0.1176,0.0,0.1697,0.0833
27.76,Gemini,LOW,EN,Depression,0.7388,0.1176,0.0,0.1822,0.0833
25.32,ChatGPT,LOW,EN,Depression,0.6179,0.1765,0.0,0.154,0.0833
32.68,Copilot,MODERATE,EN,Depression,0.7654,0.2824,0.0,0.1826,0.0833
27.37,Gemini,LOW,EN,Depression,0.7388,0.0588,0.0,0.2901,0.0833
30.58,ChatGPT,MODERATE,EN,Depression,0.5989,0.395,0.0,0.1906,0.0833
38.63,Copilot,MODERATE,EN,Depression,0.7088,0.5849,0.0,0.1905,0.0833
31.51,Gemini,MODERATE,EN,Depression,0.819,0.0756,0.0,0.4212,0.0833
30.46,ChatGPT,MODERATE,EN,Depression,0.5989,0.3933,0.0,0.1825,0.0833
40.79,Copilot,MODERATE,EN,Depression,0.7088,0.5378,0.1333,0.1914,0.0833
32.98,Gemini,MODERATE,EN,Depression,0.819,0.1345,0.0,0.4217,0.0833
30.6,ChatGPT,MODERATE,EN,Depression,0.5989,0.395,0.0,0.1926,0.0833
38.77,Copilot,MODERATE,EN,Depression,0.7088,0.595,0.0,0.1797,0.0833
29.57,Gemini,LOW,EN,Depression,0.819,0.0,0.0,0.4162,0.0833
24.0,ChatGPT,LOW,EN,Depression,0.4526,0.3294,0.0,0.1354,0.0833
17.36,Copilot,LOW,EN,Depression,0.1742,0.4,0.0,0.1305,0.0833
34.04,Gemini,MODERATE,EN,Depression,0.8597,0.2235,0.0,0.1828,0.0833
27.05,ChatGPT,LOW,EN,Depression,0.4526,0.4471,0.0,0.1459,0.0833
17.47,Copilot,LOW,EN,Depression,0.1742,0.4,0.0,0.1408,0.0833
28.43,Gemini,LOW,EN,Depression,0.8597,0.0,0.0,0.1804,0.0833
25.45,ChatGPT,LOW,EN,Depression,0.4526,0.3882,0.0,0.1337,0.0833
16.21,Copilot,LOW,EN,Depression,0.1742,0.3529,0.0,0.1331,0.0833
31.04,Gemini,MODERATE,EN,Depression,0.8597,0.0588,0.0,0.2944,0.0833
36.55,ChatGPT,MODERATE,EN,Depression,0.8378,0.3765,0.0,0.1165,0.0833
29.91,Copilot,LOW,EN,Depression,0.6128,0.3673,0.0,0.1505,0.0833
34.12,Gemini,MODERATE,EN,Depression,0.8193,0.2353,0.0,0.2826,0.0833
32.67,ChatGPT,MODERATE,EN,Depression,0.8378,0.2118,0.0,0.1408,0.0833
32.71,Copilot,MODERATE,EN,Depression,0.6128,0.4732,0.0,0.1663,0.0833
41.55,Gemini,MODERATE,EN,Depression,0.8193,0.4471,0.1333,0.1624,0.0833
34.39,ChatGPT,MODERATE,EN,Depression,0.8378,0.2824,0.0,0.1366,0.0833
30.07,Copilot,MODERATE,EN,Depression,0.6128,0.3673,0.0,0.1668,0.0833
34.45,Gemini,MODERATE,EN,Depression,0.8193,0.1176,0.1333,0.276,0.0833
34.95,ChatGPT,MODERATE,EN,Depression,0.7022,0.45,0.0,0.1797,0.0833
36.8,Copilot,MODERATE,EN,Depression,0.8142,0.4,0.0,0.154,0.0833
26.99,Gemini,LOW,EN,Depression,0.7348,0.0,0.0,0.4115,0.0833
37.86,ChatGPT,MODERATE,EN,Depression,0.7022,0.5676,0.0,0.1773,0.0833
39.05,Copilot,MODERATE,EN,Depression,0.8142,0.4765,0.0,0.1884,0.0833
26.97,Gemini,LOW,EN,Depression,0.7348,0.0,0.0,0.4093,0.0833
29.35,ChatGPT,LOW,EN,Depression,0.7022,0.2265,0.0,0.1788,0.0833
42.27,Copilot,MODERATE,EN,Depression,0.8142,0.6059,0.0,0.1867,0.0833
26.94,Gemini,LOW,EN,Depression,0.7348,0.0,0.0,0.4067,0.0833
30.78,ChatGPT,MODERATE,EN,Depression,0.7981,0.1765,0.0,0.1595,0.0833
32.14,Copilot,MODERATE,EN,Depression,0.6934,0.3529,0.0,0.168,0.0833
26.2,Gemini,LOW,EN,Depression,0.6955,0.0588,0.0,0.3029,0.0833
34.2,ChatGPT,MODERATE,EN,Depression,0.7981,0.3088,0.0,0.1706,0.0833
27.69,Copilot,LOW,EN,Depression,0.6934,0.1765,0.0,0.1648,0.0833
24.7,Gemini,LOW,EN,Depression,0.6955,0.0,0.0,0.3001,0.0833
32.28,ChatGPT,MODERATE,EN,Depression,0.7981,0.2353,0.0,0.1619,0.0833
26.19,Copilot,LOW,EN,Depression,0.6934,0.1176,0.0,0.1619,0.0833
25.78,Gemini,LOW,EN,Depression,0.6955,0.0,0.0,0.4086,0.0833
27.49,ChatGPT,LOW,EN,Depression,0.6898,0.1647,0.0,0.184,0.0833
29.42,Copilot,LOW,EN,Depression,0.6287,0.3176,0.0,0.1783,0.0833
34.33,Gemini,MODERATE,EN,Depression,0.879,0.1176,0.0,0.4187,0.0833
32.94,ChatGPT,MODERATE,EN,Depression,0.6898,0.3882,0.0,0.1706,0.0833
30.88,Copilot,MODERATE,EN,Depression,0.6287,0.3765,0.0,0.1778,0.0833
31.38,Gemini,MODERATE,EN,Depression,0.879,0.0,0.0,0.418,0.0833
27.52,ChatGPT,LOW,EN,Depression,0.6898,0.1647,0.0,0.1874,0.0833
32.36,Copilot,MODERATE,EN,Depression,0.6287,0.4353,0.0,0.1783,0.0833
35.85,Gemini,MODERATE,EN,Depression,0.879,0.2235,0.0,0.3055,0.0833
27.96,ChatGPT,LOW,EN,Depression,0.6609,0.2353,0.0,0.1418,0.0833
34.46,Copilot,MODERATE,EN,Depression,0.6322,0.5412,0.0,0.1134,0.0833
24.42,Gemini,LOW,EN,Depression,0.6394,0.0588,0.0,0.2937,0.0833
35.06,ChatGPT,MODERATE,EN,Depression,0.6609,0.5088,0.0,0.1676,0.0833
32.87,Copilot,MODERATE,EN,Depression,0.6322,0.4824,0.0,0.1007,0.0833
25.9,Gemini,LOW,EN,Depression,0.6394,0.1176,0.0,0.2945,0.0833
28.62,ChatGPT,LOW,EN,Depression,0.6609,0.25,0.0,0.1706,0.0833
31.93,Copilot,MODERATE,EN,Depression,0.6322,0.4353,0.0,0.1248,0.0833
22.99,Gemini,LOW,EN,Depression,0.6394,0.0,0.0,0.297,0.0833
30.63,ChatGPT,MODERATE,EN,Depression,0.5869,0.4353,0.0,0.1305,0.0833
17.12,Copilot,LOW,EN,Depression,0.0783,0.4941,0.0,0.1589,0.0833
26.64,Gemini,LOW,EN,Depression,0.6665,0.0,0.0667,0.4142,0.0833
29.46,ChatGPT,LOW,EN,Depression,0.5869,0.3765,0.0,0.1611,0.0833
17.88,Copilot,LOW,EN,Depression,0.0783,0.4941,0.0,0.2344,0.0833
25.33,Gemini,LOW,EN,Depression,0.6665,0.0588,0.0,0.3028,0.0833
24.98,ChatGPT,LOW,EN,Depression,0.5869,0.2,0.0,0.154,0.0833
17.17,Copilot,LOW,EN,Depression,0.0783,0.4941,0.0,0.1635,0.0833
24.91,Gemini,LOW,EN,Depression,0.6665,0.0471,0.0,0.2904,0.0833
21.54,ChatGPT,LOW,EN,Depression,0.5107,0.1647,0.0,0.127,0.0833
31.96,Copilot,MODERATE,EN,Depression,0.6977,0.3647,0.0,0.1074,0.0833
28.5,Gemini,LOW,EN,Depression,0.7663,0.1176,0.0,0.1733,0.0833
21.73,ChatGPT,LOW,EN,Depression,0.5107,0.1647,0.0,0.1459,0.0833
39.79,Copilot,MODERATE,EN,Depression,0.6977,0.6,0.0,0.303,0.0833
31.85,Gemini,MODERATE,EN,Depression,0.7663,0.1176,0.1333,0.1758,0.0833
23.16,ChatGPT,LOW,EN,Depression,0.5107,0.2235,0.0,0.1418,0.0833
36.58,Copilot,MODERATE,EN,Depression,0.6977,0.4824,0.0,0.2757,0.0833
29.94,Gemini,LOW,EN,Depression,0.7663,0.0588,0.0667,0.2985,0.0833
27.73,ChatGPT,LOW,EN,Depression,0.8345,0.0,0.0,0.1866,0.0833
35.32,Copilot,MODERATE,EN,Depression,0.8086,0.2824,0.0,0.3169,0.0833
25.47,Gemini,LOW,EN,Depression,0.6819,0.0,0.0,0.4179,0.0833
33.7,ChatGPT,MODERATE,EN,Depression,0.8345,0.2353,0.0,0.1945,0.0833
35.24,Copilot,MODERATE,EN,Depression,0.8086,0.2824,0.0,0.3091,0.0833
27.13,Gemini,LOW,EN,Depression,0.6819,0.0,0.0667,0.4174,0.0833
35.42,ChatGPT,MODERATE,EN,Depression,0.8345,0.1765,0.1333,0.181,0.0833
60.09,Copilot,HIGH,EN,Depression,0.8086,1.0,0.0,1.0,0.0833
25.49,Gemini,LOW,EN,Depression,0.6819,0.0,0.0,0.4201,0.0833
43.09,ChatGPT,MODERATE,BM,Depression,0.7999,0.7059,0.0,0.1446,0.0
28.79,Copilot,LOW,BM,Depression,0.3917,0.6471,0.0,0.0864,0.0
41.29,Gemini,MODERATE,BM,Depression,0.8234,0.5529,0.0,0.2766,0.0
40.02,ChatGPT,MODERATE,BM,Depression,0.7999,0.6,0.0,0.1023,0.0
28.9,Copilot,LOW,BM,Depression,0.3917,0.6471,0.0,0.0974,0.0
43.75,Gemini,MODERATE,BM,Depression,0.8234,0.6471,0.0,0.2872,0.0
41.24,ChatGPT,MODERATE,BM,Depression,0.7999,0.6471,0.0,0.1067,0.0
